marketCard_symbol,marketCard_stockPosition,marketCard_changePct
DJIA,"43,487.83",+0.78%
S&P 500,"5,996.66",+1.00%
NASDAQ,"19,630.20",+1.51%
RUSS 2K*,"2,275.88",+0.40%
VIX,15.97,-3.80%
