Close,High,Low,Open,Volume
TSLA,TSLA,TSLA,TSLA,TSLA
108.0999984741211,118.80000305175781,104.63999938964844,118.47000122070312,231402800
113.63999938964844,114.58999633789062,107.5199966430664,109.11000061035156,180389000
110.33999633789062,111.75,107.16000366210938,110.51000213623047,157986300
113.05999755859375,114.38999938964844,101.80999755859375,103.0,220911100
119.7699966430664,123.5199966430664,117.11000061035156,118.95999908447266,190284000
118.8499984741211,122.76000213623047,114.91999816894531,121.06999969482422,167642500
123.22000122070312,125.94999694824219,120.51000213623047,122.08999633789062,183810800
123.55999755859375,124.12999725341797,117.0,122.55999755859375,169400900
122.4000015258789,122.62999725341797,115.5999984741211,116.55000305175781,180714100
131.49000549316406,131.6999969482422,125.0199966430664,125.69999694824219,186477000
128.77999877929688,136.67999267578125,127.01000213623047,136.55999755859375,195680300
127.16999816894531,129.99000549316406,124.30999755859375,127.26000213623047,170291900
133.4199981689453,133.50999450683594,127.3499984741211,128.67999267578125,138858100
143.75,145.3800048828125,134.27000427246094,135.8699951171875,203119200
143.88999938964844,146.5,141.10000610351562,143.0,158699100
144.42999267578125,146.41000366210938,138.07000732421875,141.91000366210938,192734300
160.27000427246094,161.4199981689453,154.75999450683594,159.97000122070312,234815100
177.89999389648438,180.67999267578125,161.1699981689453,162.42999267578125,306590600
166.66000366210938,179.77000427246094,166.5,178.0500030517578,230878800
173.22000122070312,174.3000030517578,162.77999877929688,164.57000732421875,196813500
181.41000366210938,183.80999755859375,169.92999267578125,173.88999938964844,213806300
188.27000427246094,196.75,182.61000061035156,187.3300018310547,217448300
189.97999572753906,199.0,183.69000244140625,183.9499969482422,232662000
194.75999450683594,198.1699981689453,189.9199981689453,193.00999450683594,186188100
196.80999755859375,197.5,189.5500030517578,196.42999267578125,186010300
201.2899932861328,203.0,194.30999755859375,196.10000610351562,180673600
207.32000732421875,214.0,204.77000427246094,207.77999877929688,215431400
196.88999938964844,206.1999969482422,192.88999938964844,202.22999572753906,204754100
194.63999938964844,196.3000030517578,187.61000061035156,194.4199981689453,172475500
209.25,209.82000732421875,189.44000244140625,191.94000244140625,216455700
214.24000549316406,214.66000366210938,206.11000061035156,211.75999450683594,181006400
202.0399932861328,217.64999389648438,201.83999633789062,210.77999877929688,229586500
208.30999755859375,208.44000244140625,197.5,199.99000549316406,213738500
197.3699951171875,209.7100067138672,197.22000122070312,204.99000549316406,180018600
200.86000061035156,201.99000549316406,191.77999877929688,197.92999267578125,191828500
202.07000732421875,205.13999938964844,196.3300018310547,203.91000366210938,146360000
196.8800048828125,197.6699981689453,192.8000030517578,196.3300018310547,142228100
207.6300048828125,209.4199981689453,201.25999450683594,202.02999877929688,161028300
205.7100067138672,211.22999572753906,203.75,210.58999633789062,153144900
202.77000427246094,207.1999969482422,198.52000427246094,206.2100067138672,156852800
